experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
06_25 Bacillus turbido,P02,2025-06-25T17:31:58.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:31:58,7.988333333333333
06_25 Bacillus turbido,P02,2025-06-25T17:32:13.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:32:13,7.9925
06_25 Bacillus turbido,P02,2025-06-25T17:32:28.668Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:32:28,7.996666666666667
06_25 Bacillus turbido,P02,2025-06-25T17:32:43.667Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:32:43,8.000833333333333
06_25 Bacillus turbido,P02,2025-06-25T17:32:58.665Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:32:58,8.005
06_25 Bacillus turbido,P02,2025-06-25T17:33:13.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:33:13,8.009166666666667
06_25 Bacillus turbido,P02,2025-06-25T17:33:28.667Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:33:28,8.013333333333334
06_25 Bacillus turbido,P02,2025-06-25T17:33:43.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:33:43,8.0175
06_25 Bacillus turbido,P02,2025-06-25T20:24:57.211Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.0350633413411776, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-25 22:24:57,10.87138888888889
06_25 Bacillus turbido,P02,2025-06-25T21:23:56.717Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03520395618761772, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-25 23:23:56,11.854444444444445
06_25 Bacillus turbido,P02,2025-06-25T22:32:56.698Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03511155824042924, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 00:32:56,13.004444444444445
06_25 Bacillus turbido,P02,2025-06-25T23:33:11.746Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03500764933955358, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 01:33:11,14.008611111111112
06_25 Bacillus turbido,P02,2025-06-26T00:35:26.749Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.035196951019201825, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 02:35:26,15.046111111111111
06_25 Bacillus turbido,P02,2025-06-26T01:32:26.738Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03501625833695332, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 03:32:26,15.99611111111111
06_25 Bacillus turbido,P02,2025-06-26T02:32:11.719Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.035008830137457994, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 04:32:11,16.991944444444446
06_25 Bacillus turbido,P02,2025-06-26T03:33:41.700Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03501144145492431, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 05:33:41,18.016944444444444
06_25 Bacillus turbido,P02,2025-06-26T04:22:11.719Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03510677127305315, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 06:22:11,18.825277777777778
06_25 Bacillus turbido,P02,2025-06-26T05:19:26.708Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03503884950953075, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 07:19:26,19.779444444444444
06_25 Bacillus turbido,P02,2025-06-26T05:43:26.707Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03507822829816254, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 07:43:26,20.179444444444446
06_25 Bacillus turbido,P02,2025-06-26T05:59:11.699Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03509008395359603, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 07:59:11,20.441944444444445
06_25 Bacillus turbido,P02,2025-06-26T06:04:11.709Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.035984089403231834, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:04:11,20.525277777777777
06_25 Bacillus turbido,P02,2025-06-26T06:09:11.709Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03716818073073282, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:09:11,20.60861111111111
06_25 Bacillus turbido,P02,2025-06-26T06:14:11.719Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03865263765573011, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:14:11,20.691944444444445
06_25 Bacillus turbido,P02,2025-06-26T06:19:11.729Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03870799995716195, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:19:11,20.775277777777777
06_25 Bacillus turbido,P02,2025-06-26T06:24:11.723Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.03948724945756986, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:24:11,20.85861111111111
06_25 Bacillus turbido,P02,2025-06-26T06:29:11.709Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04152374685673514, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:29:11,20.941944444444445
06_25 Bacillus turbido,P02,2025-06-26T06:34:11.699Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04004145526129794, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:34:11,21.025277777777777
06_25 Bacillus turbido,P02,2025-06-26T06:39:11.746Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04161995620783917, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:39:11,21.10861111111111
06_25 Bacillus turbido,P02,2025-06-26T06:44:11.717Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04365989771876528, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:44:11,21.191944444444445
06_25 Bacillus turbido,P02,2025-06-26T06:49:11.736Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.04398167318891404, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:49:11,21.275277777777777
06_25 Bacillus turbido,P02,2025-06-26T06:54:11.872Z,DilutionEvent,Latest OD = 0.05 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.046026819837466204, ""target_od"": 0.035, ""volume"": 6.0}",2025-06-26 08:54:11,21.35861111111111
06_25 Bacillus turbido,P02,2025-06-26T07:07:01.404Z,ErrorOccurred,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio cache clear pwm_locks 12 --as-int` on the command line for P02.",,2025-06-26 09:07:01,21.5725
06_25 Bacillus turbido,P02,2025-06-26T07:08:10.754Z,ErrorOccurred,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio cache clear pwm_locks 12 --as-int` on the command line for P02.",,2025-06-26 09:08:10,21.591666666666665
06_25 Bacillus turbido,P02,2025-06-26T07:08:25.278Z,ErrorOccurred,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio cache clear pwm_locks 12 --as-int` on the command line for P02.",,2025-06-26 09:08:25,21.595833333333335
06_25 Bacillus turbido,P02,2025-06-26T07:08:40.271Z,ErrorOccurred,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio cache clear pwm_locks 12 --as-int` on the command line for P02.",,2025-06-26 09:08:40,21.6
